Block,Strain,Plate,Drop,Count_20ul,Burrowing_exclude
3,N2,1,6,8,0
3,EG4725,5,1,14,0
3,EG4725,5,2,12,0
3,EG4725,5,3,12,0
3,EG4725,5,4,9,0
3,EG4725,5,5,12,0
3,EG4725,5,6,9,0
3,ED3017,5,1,5,0
3,ED3017,5,2,4,0
3,ED3017,5,3,15,0
3,ED3017,5,4,4,0
3,ED3017,5,5,11,0
3,ED3017,5,6,5,0
3,EG4725,3,1,8,0
3,EG4725,3,2,5,0
3,EG4725,3,3,11,0
3,EG4725,3,4,7,0
3,EG4725,3,5,10,0
3,EG4725,3,6,9,0
3,EG4725,2,1,11.33,0
3,EG4725,2,2,8,0
3,EG4725,2,3,12,0
3,EG4725,2,4,9.67,0
3,ED3017,2,1,16.33,0
3,ED3017,2,2,16,0
3,ED3017,2,3,16.67,0
3,ED3017,2,4,8.33,0
3,ED3017,2,5,13,0
3,ED3017,2,6,13,0
4,DL238,5,1,10,0
4,DL238,5,2,11,0
4,DL238,5,3,11,0
4,DL238,5,4,16,0
4,DL238,5,5,11,0
4,DL238,5,6,14,0
4,JT11398,1,1,15.67,0
4,JT11398,1,2,9,0
4,JT11398,1,3,14,0
4,JT11398,1,4,18,0
4,JT11398,1,5,12.33,0
4,JT11398,1,6,14,0
4,N2,2,1,11,0
4,N2,2,2,16.33,0
4,N2,2,3,11,0
4,N2,2,4,13.67,0
4,N2,2,5,16.67,0
4,N2,2,6,17.67,0
4,DL238,1,1,15,0
4,DL238,1,2,11,0
4,DL238,1,3,9.67,0
4,DL238,1,4,11.33,0
4,DL238,1,5,6,0
4,DL238,1,6,18.67,0
4,DL238,4,1,6,0
4,DL238,4,2,4,0
4,DL238,4,3,13,0
4,DL238,4,4,7,0
4,DL238,4,5,9,0
4,DL238,4,6,9,0
4,JT11398,3,1,11.33,0
4,JT11398,3,2,11,0
4,JT11398,3,3,6,0
4,JT11398,3,4,10.33,0
4,JT11398,3,5,3,0
4,JT11398,3,6,10,0
4,LKC34,1,1,12.33,0
4,LKC34,1,2,14,0
4,LKC34,1,3,14,0
4,LKC34,1,4,10.67,0
4,LKC34,1,5,11,0
4,LKC34,1,6,12.33,0
4,DL238,3,1,6,0
4,DL238,3,2,9,0
4,DL238,3,3,14.67,0
4,DL238,3,4,10.33,0
4,DL238,3,5,6,0
4,DL238,3,6,9,0
4,JT11398,5,1,13.67,0
4,JT11398,5,2,9,0
4,JT11398,5,3,8.67,0
4,JT11398,5,4,12.33,0
4,JT11398,5,5,20.33,0
4,JT11398,5,6,11,0
4,LKC34,3,1,7,0
4,LKC34,3,2,10,0
4,LKC34,3,3,5,0
4,LKC34,3,4,6,0
4,LKC34,3,5,13,0
4,LKC34,3,6,7,0
4,N2,3,1,9,0
4,N2,3,2,14.33,0
4,N2,3,3,11.67,0
4,N2,3,4,11.67,0
4,N2,3,5,18,0
4,N2,3,6,16,0
4,DL238,2,1,3,0
4,DL238,2,2,6,0
4,DL238,2,3,14,0
4,DL238,2,4,10,0
4,DL238,2,5,3,0
4,DL238,2,6,11.33,0
4,LKC34,4,1,6,0
4,LKC34,4,2,7,0
4,LKC34,4,3,6,0
4,LKC34,4,4,9.33,0
4,LKC34,4,5,6,0
4,LKC34,4,6,6,0
4,LKC34,2,1,4,0
4,LKC34,2,2,2,0
4,LKC34,2,3,6.33,0
4,LKC34,2,4,4,0
4,LKC34,2,5,7.33,0
4,LKC34,2,6,5,0
4,N2,1,1,6,0
4,N2,1,2,6,0
4,N2,1,3,9,0
4,N2,1,4,6,0
4,N2,1,5,6,0
4,N2,1,6,8,0
4,JT11398,2,1,10,0
4,JT11398,2,2,6,0
4,JT11398,2,3,12.67,0
4,JT11398,2,4,10,0
4,JT11398,2,5,9.67,0
4,JT11398,2,6,6,0
4,LKC34,5,1,9,0
4,LKC34,5,2,12,0
4,LKC34,5,3,14,0
4,LKC34,5,4,6,0
4,LKC34,5,5,8,0
4,LKC34,5,6,12,0
4,JT11398,4,1,13,0
4,JT11398,4,2,17.33,0
4,JT11398,4,3,4,0
4,JT11398,4,4,8,0
4,JT11398,4,5,6,0
4,JT11398,4,6,6,0
5,MY16,4,1,12,0
5,MY16,4,2,8,0
5,MY16,4,3,16,0
5,MY16,4,4,12.67,0
5,MY16,4,5,5,0
5,MY16,4,6,15,0
5,JU775,3,1,6,0
5,JU775,3,2,5,0
5,JU775,3,3,5,0
5,JU775,3,4,5,0
5,JU775,3,5,6,0
5,JU775,3,6,9,0
5,N2,2,1,0,0
5,N2,2,2,1,0
5,N2,2,3,1,0
5,N2,2,4,4,0
5,N2,2,5,3,0
5,N2,2,6,5,0
5,JU775,2,1,6,0
5,JU775,2,2,5,0
5,JU775,2,3,6,0
5,JU775,2,4,6,0
5,JU775,2,5,5,0
5,JU775,2,6,9,0
5,MY16,2,1,11,0
5,MY16,2,2,12,0
5,MY16,2,3,12,0
5,MY16,2,4,14,0
5,MY16,5,1,12,0
5,MY16,5,2,15,0
5,MY16,5,3,14,0
5,MY16,5,4,15,0
